5947,开泰大道(骏达路口)站	805,谢村站 
5944,开泰大道(骏成路路口)站	805,谢村站 
5942,开泰大道(东明三路口)站	805,谢村站 
5940,开发区(新港码头)总站	805,谢村站 
5935,开发区路口站	805,谢村站 
5932,开发区立交桥北站	805,谢村站 
5930,开发区管委会站	805,谢村站 
5929,开发大道口站	805,谢村站 
5928,开发大道口站	805,谢村站 
5927,开达路中站	805,谢村站 
5925,开达路北站	805,谢村站 
5922,开创大道中(南方物流)站	805,谢村站 
5921,开创大道立交站	805,谢村站 
5916,开创大道口站	805,谢村站 
5915,开创大道北(广汕路口)站	805,谢村站 
6430,南翔一路中站	805,谢村站 
6417,金峰园路站	805,谢村站 
6411,新新大道中站	805,谢村站 
6410,岭头站	805,谢村站 
8561,柏塘工业区总站	805,谢村站 
8536,天麓湖郊野公园站	805,谢村站 
8535,田心村(天麓北路)站	805,谢村站 
8521,渡头大街站	805,谢村站 
8520,公园前直街站	805,谢村站 
8517,石岗东街站	805,谢村站 
8506,向西大道中站	805,谢村站 
8504,十字路口站	805,谢村站 
8399,麦村村委站	805,谢村站 
8398,陈塘社站	805,谢村站 
8397,陈塘社站	805,谢村站 
10497,园玄道观站	805,谢村站 
11155,天安科技园总站	805,谢村站 
12135,北滘交通中心	805,谢村站 
12167,东晖路东	805,谢村站 
11147,知识城政务中心站	805,谢村站 
11144,凤凰三横路站	805,谢村站 
11143,凤凰三路站	805,谢村站 
10305,风神工商银行站	805,谢村站 
10295,花都永久墓园站	805,谢村站 
10287,蒲鱼庄	805,谢村站 
7422,七星路口站	805,谢村站 
7383,花山镇政府站	805,谢村站 
7155,鸦湖村站	805,谢村站 
